item,name,region,regionLabel,party,partyLabel,startDate,endDate
,Luis Gustavo Borsani,Q44797,Mendoza,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q55825599,Sebastián Bragagnolo,Q44797,Mendoza,Q1507720,Pro,2018-05-09,2019-12-09
Q21856065,Guillermo Carmona,Q44797,Mendoza,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Omar Chafí Félix,Q44797,Mendoza,Q1053668,Somos Mendoza,2017-12-10,2021-12-09
,Stella Maris Huczak,Q44797,Mendoza,Q1507720,Pro,2016-03-01,2019-12-09
,Pedro Rubén Miranda,Q44797,Mendoza,Q1053668,Justicialista,2015-12-10,2019-12-09
,Claudia Najul,Q44797,Mendoza,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q21856230,Luis Petri,Q44797,Mendoza,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q47143468,José Luis Ramón,Q44797,Mendoza,Q65035935,Protectora,2017-12-10,2021-12-09
,Federico Raúl Zamarbide,Q44797,Mendoza,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q21856061,María Cristina Brítez,Q44798,Misiones,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Verónica Derna,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2017-12-18,2019-12-09
,Daniel di Stefano,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2015-12-10,2019-12-09
,Jorge Daniel Franco,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2015-12-10,2019-12-09
,Flavia Morales,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2017-12-10,2021-12-09
,Luis Mario Pastori,Q44798,Misiones,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q47143573,Ricardo Wellbach,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2017-12-10,2021-12-09
Q20667914,José Alberto Ciampini,Q44800,Neuquén,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Leandro Gastón López Koenig,Q44800,Neuquén,Q1507720,Pro,2015-12-10,2019-12-09
Q41555918,Norman Darío Martínez,Q44800,Neuquén,Q1072438,Frente para la Victoria-PJ,2017-12-10,2019-12-09
Q47144879,"Alma ""Chani"" Sapag",Q44800,Neuquén,Q7002024,Movimiento Popular Neuquino,2017-12-10,2021-12-09
,David Pablo Schlereth,Q44800,Neuquén,Q1507720,Pro,2017-12-10,2021-12-09
Q21856120,Claudio Martín Doñate,Q44802,Río Negro,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Silvia Renee Horne,Q44802,Río Negro,Q30904600,Movimiento Evita,2015-12-10,2019-12-09
Q47144927,Lorena Matzen,Q44802,Río Negro,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q21856280,María Emilia Soria,Q44802,Río Negro,Q1072438,Frente para la Victoria-PJ,2017-12-10,2019-12-02
,Sergio Javier Wisky,Q44802,Río Negro,Q1507720,Pro,2015-12-10,2019-12-09
Q21480721,Néstor Javier David,Q44803,Salta,Q1053668,Justicialista,2015-12-10,2019-12-09
Q37006507,Martín Grande,Q44803,Salta,Q1507720,Pro,2017-12-10,2021-12-09
Q15714680,Pablo Francisco Juan Kosiner,Q44803,Salta,Q1053668,Justicialista,2015-12-10,2019-12-09
Q47144945,Sergio Napoleón Leavy,Q44803,Salta,Q1072438,Frente para la Victoria-PJ,2017-12-10,2019-12-09
Q21856216,Miguel Nanni,Q44803,Salta,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q20012995,Alfredo Horacio Olmedo,Q44803,Salta,,"",2015-12-10,2019-12-09
