@@,item,name,party,partylabel,region,regionlabel,startdate,enddate
+++,Q29263357,Leandro Santoro,Q64590596,Frente de Todos,Q1486,Ciudad de Buenos Aires,2021-12-10,
+++,Q109950773,Leila Chaher,Q64590596,Frente de Todos,Q44764,Jujuy,2021-12-10,
->,Q21856151,Leonardo Grosso,Q30904600->Q64590596,Evita Movement->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
->,Q21856186,Leonor María Martínez Villada,Q1104292,Civic Coalition ARI->Coalición Cívica,Q44759,Córdoba Province->Córdoba,2015-12-10->2019-12-10,
---,Q21856186,Leonor María Martínez Villada,,,Q44759,Córdoba Province,2015-12-10,
->,Q5973474,Leopoldo Moreau->Leopoldo Raúl Guido Moreau,Q30841057->Q64590596,Citizen's Unity->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
+++,,Lidia Inés Ascárate,Q123585,Unión Cívica Radical,Q44829,Tucumán,2019-12-10,
->,Q108401294,Liliana Patricia Yambrún,Q64590596,Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2019-12-10,
+++,,Lisandro Bormioli,Q64590596,Frente de Todos,Q44754,Buenos Aires,2020- 5-13,
+++,,Lisandro Nieri,Q123585,Unión Cívica Radical,Q44797,Mendoza,2021-12-16,
---,Q47144927,Lorena Matzen,Q47146448,,Q44802,Río Negro Province,2017-12-10,
---,Q21856160,Lucas Ciriaco Incicco,Q1507720,Republican Proposal,Q44823,Santa Fe Province,2015-12-10,
+++,Q97999604,Lucas Javier Godoy,Q64590596,Frente de Todos,Q44803,Salta,2019-12-10,
->,Q21856172,Luciano Andrés Laspina,Q20749344->Q1507720,Cambiemos->PRO,Q44823,Santa Fe Province->Santa Fe,2017-12-10->2021-12-10,
+++,,Lucio Yapor,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-10-26,
---,Q21856230,Luis Alfonso Petri,Q20749344,Cambiemos,Q44797,Mendoza,2017-12-10,
---,Q4122381,Luis Beder Herrera,Q1053668,Justicialist Party,Q44796,La Rioja Province,2015-12-10,
->,Q108377000,Luis Di Giacomo->Luis Di Giácomo,Q25405448,Juntos Somos Río Negro,Q44802,Río Negro Province->Río Negro,2019-12-10,
---,Q21856060,Luis Gustavo Borsani,Q123585,Radical Civic Union,Q44797,Mendoza,2015-12-10,
---,Q47145531,Luis Gustavo Contigiani,Q7248613,"Progressive, Civic and Social Front",Q44823,Santa Fe Province,2017-12-10,
---,Q1280001,Luis Juez,,,Q44759,Córdoba Province,2019-12-10,2021-12-10
---,Q21856224,Luis Mario Pastori,Q20749344,Cambiemos,Q44798,Misiones Province,2017-12-10,
->,Q21856284->Q45797708,Luis Rodolfo Tailhade,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
+++,Q97798204,Lía Verónica Caliva,Q64590596,Frente de Todos,Q44803,Salta,2019-12-10,
+++,Q18756543,Mabel Luisa Caparrós,Q64590596,Frente de Todos,Q44832,Tierra del Fuego,2019-12-10,
+++,,Magalí Mastaler,Q64590596,Frente de Todos,Q44823,Santa Fe,2021-12-10,
---,Q23906959,Magdalena Sierra,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
+++,,Manuel Ignacio Aguirre,Q64590596,Frente de Todos,Q44758,Corrientes,2021-12-10,
+++,Q63342220,Mara Brawer,Q64590596,Frente de Todos,Q1486,Ciudad de Buenos Aires,2019-12-19,
+++,,Marcela Antola,Q123585,Evolución Radical,Q44762,Entre Ríos,2021-12-10,
->,Q47141983,Marcela Campagnoli->María Marcela Campagnoli,Q20749344->Q1104292,Cambiemos->Coalición Cívica,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
->,Q21856223,Marcela Fabiana Passo,Q15120034->Q64590596,Renewal Front->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2021-12-10,
+++,,Marcela Inés Coli,Q123585,Unión Cívica Radical,Q44795,La Pampa,2021-12-10,
+++,Q110112123,Marcela Paola Vessvessian,Q64590596,Frente de Todos,Q44821,Santa Cruz,2019-12-10,
---,Q21856298,Marcelo Germán Wechsler,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
---,Q21856212,Marcelo Monfort,Q123585,Radical Civic Union,Q44762,Entre Ríos Province,2015-12-10,
+++,Q96623937,Marcelo Pablo Casaretto,Q64590596,Frente de Todos,Q44762,Entre Ríos,2019-12-10,
---,Q21856173,Marco Lavagna,Q15120034,Renewal Front,Q1486,Buenos Aires,2015-12-10,
->,Q21856090,Marcos Cleri,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44823,Santa Fe Province->Santa Fe,2015-12-10->2019-12-10,
+++,,Marcos Gustavo Carasso,Q123585,Unión Cívica Radical,Q44759,Córdoba,2021-12-16,
+++,Q2918563,Margarita Rosa Stolbizer,Q64590412,Encuentro Federal,Q44754,Buenos Aires,2021-12-10,
---,Q21856213,Mariana Morales,Q15120034,Renewal Front,Q44827,Santiago del Estero Province,2015-12-10,
+++,,Mariana Stilman,Q1104292,Coalición Cívica,Q44754,Buenos Aires,2019-12-10,
+++,Q24821342,Mariana de Jesús Zuvic,Q1104292,Coalición Cívica,Q1486,Ciudad de Buenos Aires,2019-12-10,
+++,,Marilú Quiroz,Q1507720,PRO,Q44757,Chaco,2021-12-10,
+++,,Mario Alberto Leito,Q64590596,Frente de Todos,Q44829,Tucumán,2019-12-10,
+++,Q6764548,Mario Domingo Barletta,Q123585,Unión Cívica Radical,Q44823,Santa Fe,2021-12-10,
---,Q47143149,Mario Horacio Arce,Q47109411,,Q44761,Formosa Province,2017-12-10,
->,Q16301672,Mario Negri->Mario Raúl Negri,Q123585,Radical Civic Union->Unión Cívica Radical,Q44759,Córdoba Province->Córdoba,2015-12-10->2019-12-10,
+++,,Marisa Lourdes Uceda,Q64590596,Frente de Todos,Q44797,Mendoza,2019-12-10,
->,Q41555908,Martin Maquieyra->Martín Maquieyra,Q47146755->Q1507720,NULL->PRO,Q44795,La Pampa,2017-12-10->2021-12-10,
---,Q21856228,Martín Alejandro Pérez,Q47146795,Frente Ciudadano y Social,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2017-12-10,
+++,,Martín Arjol,Q123585,Unión Cívica Radical,Q44798,Misiones,2021-12-10,
->,Q108386730,Martín Berhongaray->Martín Antonio Berhongaray,Q123585,Radical Civic Union->Unión Cívica Radical,Q44795,La Pampa,2019-12-10,
---,Q37006507,Martín Grande,Q47114773,Cambiemos País,Q44803,Salta Province,2017-12-10,
---,Q47142105,Martín Nicolás Medina,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q21856155,Martín Osvaldo Hernández,Q123585,Radical Civic Union,Q44761,Formosa Province,2015-12-10,
->,Q110050625,Martín Tetaz->Martín Alberto Tetaz,NULL->Q123585,NULL->Evolución Radical,Q1486,Buenos Aires->Ciudad de Buenos Aires,2021-12-10,
---,Q47142077,María Carla Piccolomini,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
->,Q6003481,María Carolina Moisés,Q1053668->Q64590596,Justicialist Party->Frente de Todos,Q44764,Province of Jujuy->Jujuy,2015-12-10->2019-12-10,
->,Q21856061,María Cristina Britez->María Cristina Brítez,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44798,Misiones Province->Misiones,2015-12-10->2019-12-10,
---,Q21856043,María Cristina Álvarez Rodriguez,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
->,Q108426848,María Dolores Martínez,Q64590412->Q123585,Juntos por el Cambio->Eolución Radical,Q1486,Buenos Aires->Ciudad de Buenos Aires,2019-12-10,
+++,,María Eugenia Alianello,Q64590596,Frente de Todos,Q45007,Chubut,2021-12-10,
->,Q6782004,María Eugenia Vidal,NULL->Q1507720,NULL->PRO,NULL->Q1486,NULL->Ciudad de Buenos Aires,2021-12-10,
---,Q21856258,María Fernanda Raverta,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
---,Q21856062,María Gabriela Burgos,Q47116009,Frente Jujeño Cambiemos,Q44764,Province of Jujuy,2017-12-10,
+++,,María Graciela Parola,Q64590596,Frente de Todos,Q44761,Formosa,2019-12-10,
---,Q21856152,María Isabel Guerín,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
+++,,María Jimena López,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-19,
+++,,María José Zanglá Urteaga,Q64590596,Frente de Todos,Q44818,San Luis,2021-12-10,
+++,,María Liliana Paponet,Q64590596,Frente de Todos,Q44797,Mendoza,2021-12-10,
---,Q47145338,María Lucila Lehman,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,
->,Q21856188,María Lucila Masin,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44757,Chaco Province->Chaco,2015-12-10->2019-12-10,
+++,,María Luisa Chomiak,Q64590596,Frente de Todos,Q44757,Chaco,2021-12-10,
+++,Q110822156,María Luisa Montoto de Rogel,Q64590596,Frente de Todos,Q44827,Santiago del Estero,2021-12-10,
->,Q101413635,María Luján Rey,Q64590412->Q1507720,Juntos por el Cambio->PRO,Q44754,Buenos Aires Province->Buenos Aires,2019-12-10,
->,Q108324373,María Rosa Martínez,NULL->Q64590596,NULL->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2019-12-10,
->,Q21856085,María Soledad Carrizo,Q20749344->Q123585,Cambiemos->Unión Cívica Radical,Q44759,Córdoba Province->Córdoba,2017-12-10->2021-12-10,
+++,,María Sotolano,Q1507720,PRO,Q44754,Buenos Aires,2021-12-10,
+++,,María Victoria  Borrego,Q1104292,Coalición Cívica,Q44754,Buenos Aires,2021-12-10,
+++,,María Victoria Tejeda,Q123585,Evolución Radical,Q44823,Santa Fe,2021-12-10,
+++,,María de las Mercedes Joury,Q1507720,PRO,Q44754,Buenos Aires,2019-12-10,
+++,,Matías Taccetta,Q1507720,PRO,Q45007,Chubut,2021-12-16,
+++,Q85015520,Maximiliano Carlos Francisco Ferraro,Q1104292,Coalición Cívica,Q1486,Ciudad de Buenos Aires,2019-12-10,
---,Q47143118,Mayda Cresto,Q47146244,,Q44762,Entre Ríos Province,2017-12-10,
---,Q47145411,Medina Gladys,Q47145634,,Q44829,Tucumán Province,2017-12-10,
---,Q47143336,Melina Aida Delú,Q1053668,Justicialist Party,Q44795,La Pampa,2017-12-10,
---,Q21856216,Miguel Nanni,Q123585,Radical Civic Union,Q44803,Salta Province,2015-12-10,
+++,Q98078246,Miguel Nanni Valero,Q123585,Unión Cívica Radical,Q44803,Salta,2019-12-10,
->,Q17477925,Miguel Ángel Bazze,Q123585,Radical Civic Union->Unión Cívica Radical,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
---,Q21856279,Mirta Alicia Soraire,Q1072438,Front for Victory,Q44829,Tucumán Province,2015-12-10,
---,Q21856225,Mirta Pastoriza,Q3088428,Civic Front for Santiago,Q44827,Santiago del Estero Province,2015-12-10,
---,Q20016052,Mirta Tundis,Q34692011,1País,Q44754,Buenos Aires Province,2017-12-10,
->,Q6035188,Myriam Bregman,NULL->Q598744,NULL->Frente de Izquierda,Q1486,Buenos Aires->Ciudad de Buenos Aires,2021-12-10,
->,Q15719117,Máximo Kirchner->Máximo Carlos Kirchner,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44821->Q44754,Santa Cruz Province->Buenos Aires,2015-12-10->2019-12-10,
+++,,Mónica Edith Frade,Q1104292,Coalición Cívica,Q44754,Buenos Aires,2019-12-10,
+++,Q6950244,Mónica Haydée Fein,Q1813766,Socialista,Q44823,Santa Fe,2021-12-10,
+++,Q107674589,Mónica Litza,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
->,Q47142291,Mónica Macha->Mónica Fernanda Macha,Q30841057->Q64590596,Citizen's Unity->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
---,Q62560219,Mónica Schlotthauer,,,,,2016,
---,Q55825603,Nadia Lorena Ricci,Q123585,Radical Civic Union,Q44821,Santa Cruz Province,2015-12-10,
->,Q108322391,Nancy Aracely Sand Giorasi->Nancy Sand,Q64590596,Frente de Todos,Q44758,Corrientes,2019-12-10,
+++,,Natalia Marcela Souto,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-10-26,
---,Q47142006,Natalia Soledad Villa,Q64590412,Juntos por el Cambio,Q44754,Buenos Aires Province,2017-12-10,
->,Q110164788,Natalia Zaracho,Q64590596,Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2021-12-16,
+++,,Natalia de la Sota,Q62062803,Córdoba Federal,Q44759,Córdoba,2021-12-10,
+++,,Nelly Ramona Daldovo,Q64590596,Frente de Todos,Q44761,Formosa,2019-12-19,
---,Q21856190,Nicolás María Massot,Q1507720,Republican Proposal,Q44759,Córdoba Province,2015-12-10,
---,Q107802947,Nicolás Rodríguez Saá,,,Q44754,Buenos Aires Province,2019-12-19,2021-12-10
->,Q15702157,Nicolás del Caño,Q598744,FIT->Frente de Izquierda,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
---,Q3052342,Nilda Celia Garré,Q1072438,Front for Victory,Q1486,Buenos Aires,2015-12-10,
+++,Q21856084,Nilda Mabel Carrizo,Q64590596,Frente de Todos,Q44829,Tucumán,2019-12-10,
+++,,Nilda Moyano,Q64590596,Frente de Todos,Q44827,Santiago del Estero,2021-12-16,
---,Q16142825,Norma Abdala de Matarazzo,Q3088428,Civic Front for Santiago,Q44827,Santiago del Estero Province,2017-12-10,
---,Q41555918,Norman Dario Martinez,Q47146911,,Q44800,Neuquén Province,2017-12-10,
---,Q21856260,Olga María Rista,Q123585,Radical Civic Union,Q44759,Córdoba Province,2015-12-10,
+++,Q21662521,Omar Bruno De Marchi,Q1507720,PRO,Q44797,Mendoza,2019-12-10,
---,Q47143499,Omar Chafí Félix,Q47146179,,Q44797,Mendoza,2017-12-10,
---,Q28865310,Orieta Cecilia Vera Gonzalez,Q1104292,Civic Coalition ARI,Q44756,Catamarca Province,2016-12-22,
---,Q21856179,Oscar Alberto Macias,Q1053668,Justicialist Party,Q44758,Corrientes,2015-12-10,
---,Q47143184,Osmar Antonio Monaldi,Q47116009,Frente Jujeño Cambiemos,Q44764,Province of Jujuy,2017-12-10,
->,Q41787670,Pablo Carro->José Pablo Carro,Q47146846->Q64590596,NULL->Frente de Todos,Q44759,Córdoba Province->Córdoba,2017-12-10->2021-12-10,
+++,,Pablo Cervi,Q123585,Evolución Radical,Q44800,Neuquén,2021-12-10,
---,Q15714680,Pablo Kosiner,Q1053668,Justicialist Party,Q44803,Salta Province,2015-12-10,
---,Q47142093,Pablo Miguel Ansaloni,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q47455147,Pablo Raul Yedlin,,,Q44829,Tucumán Province,2017-12-10,2021-12-09
->,Q17624215,Pablo Tonelli->Pablo Gabriel Tonelli,Q1507720,Republican Proposal->PRO,Q1486,Buenos Aires->Ciudad de Buenos Aires,2015-12-10->2019-12-10,
->,Q21856289,Pablo Torello,Q1507720,Republican Proposal->PRO,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
+++,Q108557748,Pamela Calletti,Q64590596,Frente de Todos,Q44803,Salta,2021-12-10,
->,Q27307792,Pamela Verasay->Pamela Fernanda Verasay,NULL->Q123585,NULL->Unión Cívica Radical,Q44797,Mendoza,2021-12-10,
---,Q101210427,Patricia Mounier,Q1072438,Front for Victory,Q44823,Santa Fe Province,2019-12-19,
+++,Q16617179,Paula Andrea Penacca,Q64590596,Frente de Todos,Q1486,Ciudad de Buenos Aires,2019-12-10,
->,Q33297240,Paula Mariana Oliveto Lago,Q42116847->Q1104292,Vamos Juntos->Coalición Cívica,Q1486,Buenos Aires->Ciudad de Buenos Aires,2017-12-10->2021-12-10,
->,Q110561315,Paula Omodeo,,,Q44829,Tucumán Province->Tucumán,2021-12-10,
---,Q47142723,Paulo Leonardo Cassinerio,Q4732336,Union for Córdoba,Q44759,Córdoba Province,2017-12-10,
+++,,Pedro Cristian Dantas,Q64590596,Frente de Todos,Q44802,Río Negro,2021-03-27,
---,Q21856234,Pedro Javier Pretto,Q1507720,Republican Proposal,Q44759,Córdoba Province,2015-12-10,
+++,,Pedro Jorge Galimberti,Q123585,Unión Cívica Radical,Q44762,Entre Ríos,2021-12-10,
---,Q21856195,Pedro Rubén Miranda,Q1053668,Justicialist Party,Q44797,Mendoza,2015-12-10,
---,Q47116103,Ramiro Fernandez Patri,Q1072438,Front for Victory,Q44761,Formosa Province,2017-12-10,
---,Q21856229,Raúl Joaquín Pérez,Q66987448,Federal Unidos por una Nueva Argentina,Q44754,Buenos Aires Province,2015-12-10,
+++,,Raúl Sebastián García De Luca,Q64590412,Encuentro Federal,Q44754,Buenos Aires,2019-12-10,
->,Q6108050,Ricardo Buryaile,Q123585,Radical Civic Union->Unión Cívica Radical,Q44761,Formosa Province->Formosa,2013-12-10->2019-12-10,
->,Q110191758,Ricardo Daniel Daives,NULL->Q64590596,NULL->Frente de Todos,Q44827,Santiago del Estero Province->Santiago del Estero,2019-12-10,
->,Q957748,Ricardo López Murphy,NULL->Q99853023,NULL->Republicanos Unidos,Q1486,Buenos Aires->Ciudad de Buenos Aires,2021-12-10,
---,Q47143573,Ricardo Wellbach,Q5505872,Party of Social Concord,Q44798,Misiones Province,2017-12-10,
+++,,Roberto Antonio Sánchez,Q123585,Unión Cívica Radical,Q44829,Tucumán,2021-12-10,
+++,Q77247669,Roberto Mario Mirabella,Q64590596,Frente de Todos,Q44823,Santa Fe,2021-12-10,
---,Q21856263,Rodrigo Martín Rodríguez,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
+++,Q20018279,Rodrigo de Loredo,Q123585,Evolución Radical,Q44759,Córdoba,2021-12-10,
+++,Q11184187,Rogelio Frigerio ,Q1507720,PRO,Q44762,Entre Ríos,2021-12-16,
+++,,Rogelio Iparraguirre,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
->,Q43078686,Romina Del Plá->Romina del Plá,Q598744->Q8034724,FIT->Partido ObreroFrente de Izquierda,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
---,Q55825601,Rosa Rosario Muñoz,,,Q45007,Chubut Province,2017-12-10,
+++,Q16297791,Rosana Andrea Bertone,Q64590596,Frente de Todos,Q44832,Tierra del Fuego,2019-12-10,
+++,,Rossana Elena Chahla,Q64590596,Frente de Todos,Q44829,Tucumán,2021-12-10,
->,Q47145111,Roxana Nahir Reyes->Roxana Nahir Claudia Reyes,Q47109540->Q123585,NULL->Unión Cívica Radical,Q44821,Santa Cruz Province->Santa Cruz,2017-12-10->2021-12-10,
+++,,Rubén Horacio Manzi,Q1104292,Coalición Cívica,Q44756,Catamarca,2019-12-10,
+++,,Sabrina Ajmechet,Q1507720,PRO,Q1486,Ciudad de Buenos Aires,2021-12-10,
---,Q21856018,Samanta María Celeste Acerenza,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,
---,Q21856087,Sandra Daniela Castro,Q47108887,,Q44805,San Juan Province,2017-12-10,
->,Q21856159,Santiago Nicolás Igon,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q45007,Chubut Province->Chubut,2015-12-10->2019-12-10,
---,Q55825599,Sebastián Bragagnolo,Q1507720,Republican Proposal,Q44797,Mendoza,2015-12-10,
+++,,Sebastián Nicolás Salvador,Q123585,Unión Cívica Radical,Q44754,Buenos Aires,2019-12-10,
+++,Q20969944,Sergio Guillermo Casas,Q64590596,Frente de Todos,Q44796,La Rioja,2019-12-10,
---,Q21856299,Sergio Javier Wisky,Q1507720,Republican Proposal,Q44802,Río Negro Province,2015-12-10,
->,Q3479675,Sergio Massa->Sergio Tomás Massa,NULL->Q64590596,NULL->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2019-12-10,
+++,,Sergio Omar Palazzo,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
---,Q21856301,Sergio Raúl Ziliotto,Q1053668,Justicialist Party,Q44795,La Pampa,2015-12-10,
->,Q47142422,Silvana Micaela Ginocchio,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44756,Catamarca Province->Catamarca,2017-12-10->2021-12-10,
---,Q21856182,Silvia Alejandra Martínez,Q123585,Radical Civic Union,Q44764,Province of Jujuy,2015-12-10,
->,Q21856177,Silvia Gabriela Lospennato,Q1507720,Republican Proposal->PRO,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
+++,Q110101993,Silvia Noemí del Valle Sayago,Q64590596,Frente de Todos,Q44827,Santiago del Estero,2021-12-10,2021-12-12
---,Q21856129,Silvia Patricia Frana,Q1072438,Front for Victory,Q44823,Santa Fe Province,2015-12-10,
->,Q47142775,Sofía Brambilla,Q47146931->Q1507720,NULL->PRO,Q44758,Corrientes,2017-12-10->2021-12-10,
->,Q102347072,Soher El Sukaria,NULL->Q1507720,NULL->PRO,Q44759,Córdoba Province->Córdoba,2019-12-10,
+++,,Susana Alicia Laciar,Q4732307,Producción y Trabajo,Q44805,San Juan,2021-12-10,
->,Q108373971,Susana Graciela Landriscini,Q64590596,Frente de Todos,Q44802,Río Negro Province->Río Negro,2019-12-10,
+++,,Tanya Yanet Bertoldi,Q64590596,Frente de Todos,Q44800,Neuquén,2021-12-10,
+++,,Tomás Ledesma,Q64590596,Frente de Todos,Q44762,Entre Ríos,2021-12-10,
->,Q21856189,Vanesa Laura Massetani,Q15120034->Q64590596,Renewal Front->Frente de Todos,Q44823,Santa Fe Province->Santa Fe,2015-12-10->2019-12-10,
->,Q47142273,Vanesa Siley->Vanesa Raquel Siley,Q64590596,Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
+++,,Varinia Lis Marín,Q64590596,Frente de Todos,Q44795,La Pampa,2021-12-10,
---,Q47455148,Veronica Derna,Q1072438,Front for Victory,Q44798,Misiones Province,2015-12-10,
---,Q21856193,Verónica Mercado,Q1072438,Front for Victory,Q44756,Catamarca Province,2015-12-10,
---,Q2429045,Victoria Donda,Q5501084,Freemen of the South Movement,Q1486,Buenos Aires,2015-12-10,
+++,Q24572317,Victoria Eugenia Villarruel,Q108454548,La Libertad Avanza,Q1486,Ciudad de Buenos Aires,2021-12-10,
+++,Q63990130,Victoria Morales Gorleri,Q1507720,PRO,Q1486,Ciudad de Buenos Aires,2019-12-10,
---,Q47145081,Victoria Rosso,Q47146278,,Q44818,San Luis Province,2017-12-10,
->,Q107209202,Victoria Tolosa Paz,NULL->Q64590596,NULL->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2021-12-10,
+++,Q98060325,Virginia María Cornejo,Q1507720,PRO,Q44803,Salta,2019-12-10,
+++,,Víctor Hugo Romero,Q123585,Unión Cívica Radical,Q44759,Córdoba,2019-12-10,
->,Q47145004,Walberto Enrique Allende,Q47108887->Q64590596,NULL->Frente de Todos,Q44805,San Juan Province->San Juan,2017-12-10->2021-12-10,
->,Q21856300,Waldo Wolff->Waldo Ezequiel Wolff,Q1507720,Republican Proposal->PRO,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
---,Q47142315,Walter Correa,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
---,Q21856271,Walter Marcelo Santillán,Q1072438,Front for Victory,Q44829,Tucumán Province,2015-12-10,
+++,,Ximena García,Q123585,Unión Cívica Radical,Q44823,Santa Fe,2019-12-10,
---,Q21856145,Yanina C. Gayol,Q1507720,Republican Proposal,Q44762,Entre Ríos Province,2015-12-10,
+++,,Álvaro Fernando Martínez,Q1507720,PRO,Q44797,Mendoza,2021-12-10,
---,Q21856148,Álvaro Gustavo Gonzalez,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
+++,Q104110170,Álvaro Gustavo González,Q1507720,PRO,Q1486,Ciudad de Buenos Aires,2019-12-10,
